name	x	y	z	size	material
LF1aCaOF13	n/a	n/a	n/a	n/a	platinum-iridium
LF1aCaOF14	n/a	n/a	n/a	n/a	platinum-iridium
LF1aCaOF15	n/a	n/a	n/a	n/a	platinum-iridium
LF1aCaOF16	n/a	n/a	n/a	n/a	platinum-iridium
LF1bIb1	n/a	n/a	n/a	n/a	platinum-iridium
LF1bIb2	n/a	n/a	n/a	n/a	platinum-iridium
LF1bIb3	n/a	n/a	n/a	n/a	platinum-iridium
LF1bIb4	n/a	n/a	n/a	n/a	platinum-iridium
LF1bIb5	n/a	n/a	n/a	n/a	platinum-iridium
LF1bIb6	n/a	n/a	n/a	n/a	platinum-iridium
LF1bIb7	n/a	n/a	n/a	n/a	platinum-iridium
LF1bIb8	n/a	n/a	n/a	n/a	platinum-iridium
LF1bIb9	n/a	n/a	n/a	n/a	platinum-iridium
LF1bIb10	n/a	n/a	n/a	n/a	platinum-iridium
LF1bIb11	n/a	n/a	n/a	n/a	platinum-iridium
LF1bIb12	n/a	n/a	n/a	n/a	platinum-iridium
LF1bIb13	n/a	n/a	n/a	n/a	platinum-iridium
LF1bIb14	n/a	n/a	n/a	n/a	platinum-iridium
LF1bIb15	n/a	n/a	n/a	n/a	platinum-iridium
LF1bIb16	n/a	n/a	n/a	n/a	platinum-iridium
LF1cCb1	n/a	n/a	n/a	n/a	platinum-iridium
LF1cCb2	n/a	n/a	n/a	n/a	platinum-iridium
LF1cCb3	n/a	n/a	n/a	n/a	platinum-iridium
LF1cCb4	n/a	n/a	n/a	n/a	platinum-iridium
LF1cCb5	n/a	n/a	n/a	n/a	platinum-iridium
LF1cCb6	n/a	n/a	n/a	n/a	platinum-iridium
LF1cCb7	n/a	n/a	n/a	n/a	platinum-iridium
LF1cCb8	n/a	n/a	n/a	n/a	platinum-iridium
LF1cCb9	n/a	n/a	n/a	n/a	platinum-iridium
LF1cCb10	n/a	n/a	n/a	n/a	platinum-iridium
LF1cCb11	n/a	n/a	n/a	n/a	platinum-iridium
LF1cCb12	n/a	n/a	n/a	n/a	platinum-iridium
RF3aOFa1	n/a	n/a	n/a	n/a	platinum-iridium
RF3aOFa2	n/a	n/a	n/a	n/a	platinum-iridium
RF3aOFa3	n/a	n/a	n/a	n/a	platinum-iridium
RF3aOFa4	n/a	n/a	n/a	n/a	platinum-iridium
RF3aOFa5	n/a	n/a	n/a	n/a	platinum-iridium
RF3aOFa6	n/a	n/a	n/a	n/a	platinum-iridium
RF3aOFa7	n/a	n/a	n/a	n/a	platinum-iridium
RF3aOFa8	n/a	n/a	n/a	n/a	platinum-iridium
RF3aOFa9	n/a	n/a	n/a	n/a	platinum-iridium
RF3aOFa10	n/a	n/a	n/a	n/a	platinum-iridium
RF3aOFa11	n/a	n/a	n/a	n/a	platinum-iridium
RF3aOFa12	n/a	n/a	n/a	n/a	platinum-iridium
RF3aOFa13	n/a	n/a	n/a	n/a	platinum-iridium
RF3aOFa14	n/a	n/a	n/a	n/a	platinum-iridium
RF3aOFa15	n/a	n/a	n/a	n/a	platinum-iridium
RF3aOFa16	n/a	n/a	n/a	n/a	platinum-iridium
RF3bOFb1	n/a	n/a	n/a	n/a	platinum-iridium
RF3bOFb2	n/a	n/a	n/a	n/a	platinum-iridium
RF3bOFb3	n/a	n/a	n/a	n/a	platinum-iridium
RF3bOFb4	n/a	n/a	n/a	n/a	platinum-iridium
RF3bOFb5	n/a	n/a	n/a	n/a	platinum-iridium
RF3bOFb6	n/a	n/a	n/a	n/a	platinum-iridium
RF3bOFb7	n/a	n/a	n/a	n/a	platinum-iridium
RF3bOFb8	n/a	n/a	n/a	n/a	platinum-iridium
RF3bOFb9	n/a	n/a	n/a	n/a	platinum-iridium
RF3bOFb10	n/a	n/a	n/a	n/a	platinum-iridium
RF3bOFb11	n/a	n/a	n/a	n/a	platinum-iridium
RF3bOFb12	n/a	n/a	n/a	n/a	platinum-iridium
RF3bOFb13	n/a	n/a	n/a	n/a	platinum-iridium
RF3bOFb14	n/a	n/a	n/a	n/a	platinum-iridium
RF3bOFb15	n/a	n/a	n/a	n/a	platinum-iridium
RF3bOFb16	n/a	n/a	n/a	n/a	platinum-iridium
RF2Ix1	n/a	n/a	n/a	n/a	platinum-iridium
RF2Ix2	n/a	n/a	n/a	n/a	platinum-iridium
RF2Ix3	n/a	n/a	n/a	n/a	platinum-iridium
RF2Ix4	n/a	n/a	n/a	n/a	platinum-iridium
RF2Ix5	n/a	n/a	n/a	n/a	platinum-iridium
RF2Ix6	n/a	n/a	n/a	n/a	platinum-iridium
RF2Ix7	n/a	n/a	n/a	n/a	platinum-iridium
